Buy Date,Buy Price,Sell Date,Sell Price,Profit
2021-04-29,33714.5,2021-04-30,32781.80078125,-932.69921875
2021-05-19,33685.19921875,2021-05-20,33334.55078125,-350.6484375
2021-06-25,35364.6484375,2021-06-28,35359.44921875,-5.19921875
2021-06-28,35359.44921875,2021-06-29,35010.30078125,-349.1484375
2021-08-04,36028.05078125,2021-08-05,35834.75,-193.30078125
2021-08-05,35834.75,2021-08-06,35809.25,-25.5
2021-08-06,35809.25,2021-08-09,36028.94921875,219.69921875
2021-08-30,36347.6484375,2021-08-31,36424.6015625,76.953125
2021-08-31,36424.6015625,2021-09-01,36574.30078125,149.69921875
2022-01-04,36840.1484375,2022-01-05,37695.8984375,855.75
2022-02-01,38505.5,2022-02-02,39330.5,825.0
2023-03-08,41577.1015625,2023-03-09,41256.75,-320.3515625
2023-03-31,40608.6484375,2023-04-03,40813.05078125,204.40234375
2023-06-27,44121.5,2023-06-28,44327.80078125,206.30078125
2023-06-28,44327.80078125,2023-06-30,44747.3515625,419.55078125
2024-04-01,47578.25,2024-04-02,47545.44921875,-32.80078125
2024-05-23,48768.6015625,2024-05-24,48971.6484375,203.046875
2024-05-24,48971.6484375,2024-05-27,49281.80078125,310.15234375
